frame,time_s,preview_found,float_found,tip_y,cx,cy,area
4080,68.094,1,1,1066,2049,1125,126
4095,68.344,1,1,1070,2051,1131,152
4110,68.595,1,1,991,1975,994,31
4125,68.845,1,1,1057,2003,1059,22
4140,69.095,1,1,1080,2050,1124,151
4155,69.346,1,1,1069,2006,1121,257
4170,69.596,1,1,1066,2005,1116,298
4185,69.846,1,1,998,1953,1000,27
4200,70.097,1,1,997,1953,999,25
4215,70.347,1,1,994,1994,1133,192
4230,70.597,1,1,1001,1973,1003,23
4245,70.848,1,1,1068,2005,1112,201
4260,71.098,1,1,1032,2006,1109,200
4275,71.348,1,1,1006,2006,1112,197
4290,71.599,1,1,989,1975,993,21
4305,71.849,1,1,1063,2047,1123,164
4320,72.100,1,1,999,1973,1003,34
