frame,time_s,preview_visible,float_found,tip_y,cx,cy,area
1314,21.930,1,1,616,2391,663,1040
1320,22.030,1,1,616,2390,664,1072
1326,22.131,1,1,616,2391,664,1072
1332,22.231,1,1,616,2391,664,1078
1338,22.331,1,1,616,2391,665,1081
1344,22.431,1,1,616,2391,665,1055
1350,22.531,1,1,616,2391,666,1069
1356,22.631,1,1,616,2391,666,1079
1362,22.731,1,1,616,2392,665,1070
1368,22.832,1,1,616,2391,665,1084
1374,22.932,1,1,616,2391,665,1076
1380,23.032,1,1,616,2391,666,1069
1386,23.132,1,1,616,2391,665,1096
1392,23.232,1,1,616,2391,666,1106
1398,23.332,1,1,616,2391,665,1080
1404,23.432,1,1,616,2391,665,1079
1410,23.532,1,1,616,2391,665,1071
1416,23.633,1,1,616,2391,664,1058
1422,23.733,1,1,616,2391,665,1052
1428,23.833,1,1,616,2391,664,1065
1434,23.933,1,1,616,2391,664,1047
1440,24.033,1,1,616,2392,664,1041
1446,24.133,1,1,616,2392,664,1050
1452,24.233,1,1,616,2392,664,1041
1458,24.334,1,1,616,2392,663,1018
1464,24.434,1,1,616,2392,664,1003
1470,24.534,1,1,616,2391,664,1007
1476,24.634,1,1,616,2391,663,1019
1482,24.734,1,1,616,2392,663,1010
1488,24.834,1,1,616,2391,663,1021
1494,24.934,1,1,616,2391,664,1029
1500,25.035,1,1,616,2391,664,1026
1506,25.135,1,1,616,2391,664,1024
1512,25.235,1,1,616,2391,663,1025
1518,25.335,1,1,616,2390,665,1033
1524,25.435,1,1,616,2390,666,1019
1530,25.535,1,1,616,2390,665,1006
1536,25.635,1,1,616,2390,664,1021
1542,25.736,1,1,616,2390,664,1023
1548,25.836,1,1,616,2390,665,1050
1554,25.936,1,1,616,2391,664,1039
1560,26.036,1,1,616,2391,664,1039
1566,26.136,1,1,616,2391,662,1017
1572,26.236,1,1,616,2391,662,1012
1578,26.336,1,1,616,2391,663,1030
1584,26.436,1,1,616,2391,664,1048
1590,26.537,1,1,616,2391,664,1055
1596,26.637,1,1,616,2391,663,1048
1602,26.737,1,1,616,2391,661,1008
1608,26.837,1,1,616,2391,663,1041
1614,26.937,1,1,616,2391,663,1036
1620,27.037,1,1,616,2391,662,1019
1626,27.137,1,1,616,2391,662,1014
1632,27.238,1,1,616,2391,663,1044
1638,27.338,1,1,616,2391,664,1050
1644,27.438,1,1,616,2391,665,1065
1650,27.538,1,1,616,2391,664,1064
1656,27.638,1,1,616,2391,664,1059
1662,27.738,1,1,616,2391,664,1050
1668,27.838,1,1,616,2390,662,1006
1674,27.939,1,1,616,2390,662,1010
1680,28.039,1,1,617,2389,665,1071
1686,28.139,1,1,616,2392,663,1028
1692,28.239,1,1,616,2392,664,1038
1698,28.339,1,1,616,2392,663,1062
1704,28.439,1,1,616,2392,662,1039
1710,28.539,1,1,616,2390,664,1050
1716,28.640,1,1,616,2390,664,1051
1722,28.740,1,1,616,2391,663,1040
1728,28.840,1,1,616,2391,664,1058
1734,28.940,1,1,616,2391,664,1062
1740,29.040,1,1,616,2391,664,1054
1746,29.140,1,1,616,2391,663,1045
1752,29.240,1,1,616,2391,664,1049
1758,29.340,1,1,616,2391,664,1039
1764,29.441,1,1,616,2391,664,1038
1770,29.541,1,1,616,2391,663,1035
1776,29.641,1,1,616,2391,664,1042
1782,29.741,1,1,616,2391,663,1003
1788,29.841,1,1,616,2390,662,992
1794,29.941,1,1,616,2390,662,1001
1800,30.041,1,1,616,2391,660,934
1806,30.142,1,1,616,2391,661,958
1812,30.242,1,1,616,2390,661,951
1818,30.342,1,1,616,2390,661,948
1824,30.442,1,1,616,2391,660,921
1830,30.542,1,1,616,2391,661,951
1836,30.642,1,1,616,2391,661,947
1842,30.742,1,1,616,2391,661,965
1848,30.843,1,1,616,2391,661,975
1854,30.943,1,1,616,2391,661,978
1860,31.043,1,1,616,2391,662,1000
1866,31.143,1,1,616,2391,662,992
1872,31.243,1,1,616,2391,662,992
1878,31.343,1,1,616,2391,663,1015
1884,31.443,1,1,616,2391,663,1020
1890,31.544,1,1,616,2391,663,1034
1896,31.644,1,1,616,2391,663,1039
1902,31.744,1,1,616,2391,663,1046
1908,31.844,1,1,616,2391,663,1039
1914,31.944,1,1,616,2391,663,1031
1920,32.044,1,1,616,2391,664,1060
1926,32.144,1,1,616,2391,664,1041
1932,32.245,1,1,616,2391,664,1044
1938,32.345,1,1,616,2391,665,1066
1944,32.445,1,1,616,2391,664,1055
1950,32.545,1,1,616,2391,664,1066
1956,32.645,1,1,616,2391,664,1064
1962,32.745,1,1,616,2391,664,1058
1968,32.845,1,1,616,2391,664,1049
1974,32.945,1,1,616,2391,664,1054
1980,33.046,1,1,616,2391,664,1056
1986,33.146,1,1,616,2391,664,1044
1992,33.246,1,1,616,2391,664,1043
1998,33.346,1,1,616,2391,664,1047
2004,33.446,1,1,616,2391,664,1036
2010,33.546,1,1,616,2391,664,1048
2016,33.646,1,1,616,2391,663,1027
